a52dec 0.7.4-9
ack 2.18-3
acl 2.2.52-4
acpi 1.7-2
adwaita-icon-theme 3.26.0-1
aic94xx-firmware 30-9
alsa-lib 1.1.4.1-2
alsa-utils 1.1.4-1
arandr 0.1.9-2
arc-firefox-theme 53.20170420-1
arc-gtk-theme 20170302-4
arc-icon-theme 20161122-1
archlinux-keyring 20171013-1
asciidoc 8.6.9-3
aspell 0.60.6.1-5
at-spi2-atk 2.26.0-2
at-spi2-core 2.26.0-2
atk 2.26.1-1
atkmm 2.24.2+1+gf30b47f-2
attica-qt5 5.39.0-1
attr 2.4.47-3
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7-1
babl 0.1.30-1
baloo 5.39.0-1
baloo-widgets 17.08.2-1
bash 4.4.012-2
bc 1.07.1-1
bftpd 4.5-1
binutils 2.29.1-1
bison 3.0.4-3
blueberry 1.1.15-1
blueman 2.0.5-1
bluez 5.47-2
bluez-libs 5.47-2
bluez-tools 0.2.0-1
bluez-utils 5.47-2
boost-libs 1.65.1-1
bridge-utils 1.6-2
btrfs-progs 4.13-1
bumblebee 3.2.1-15
bzip2 1.0.6-6
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.33-2
ca-certificates-utils 20170307-1
cairo 1.15.8-2
cairomm 1.12.2-2
cantarell-fonts 1:0.0.25-3
ccat 1.1.0-2
cdparanoia 10.2-5
cifs-utils 6.7-2
clang 5.0.0-1
cmake 3.9.4-1
compositeproto 0.4.2-3
compton 0.1_beta2.5-8
compton-conf 0.3.0-1
confuse 3.2.1-1
convertlit 1.8-7
coreutils 8.28-1
cower 17-2
cowsay 3.03-9
cracklib 2.9.6-1
cryptsetup 1.7.5-1
ctags 5.8-5
curl 7.56.0-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.24-1
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.1-1
desktop-file-utils 0.23-1
device-mapper 2.02.175-1
devkitppc r29.1-1
dhcpcd 6.11.5-1
dialog 1:1.3_20170509-1
diffutils 3.6-1
dmenu 4.7-1
dmraid 1.0.0.rc16.3-10
dmxproto 2.3.1-3
dnssec-anchors 20170711-1
docbook-xml 4.5-6
docbook-xsl 1.79.2-3
docker 1:17.10.0-1
docker-compose 1.16.1-1
dolphin 17.08.2-1
dolphin-emu 1:5.0-4
dosfstools 4.1-1
double-conversion 3.0.0-1
dpkg 1.18.18-2
e2fsprogs 1.43.6-1
ebook-tools 0.2.2-4
emacs 25.3-1
enchant 1.6.1-2
enet 1.3.13-1
exiv2 0.26-2
expac 8-1
expat 2.2.4-1
faad2 2.8.5-1
fakeroot 1.22-1
feh 2.21-1
ffmpeg 1:3.4-1
ffmpeg2.8 2.8.13-1
fftw 3.3.6-2
file 5.32-1
filesystem 2017.03-2
findutils 4.6.0-2
firefox 56.0.1-1
firefox-developer 57.0b4-1
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
flex 2.6.4-1
fontconfig 2.12.6-1
fontsproto 2.1.3-2
fortune-mod 1.99.1-6
franz-bin 4.0.4-5
freeglut 3.0.0-2
freeimage 3.17.0-2
freetype2 2.8.1-1
fribidi 0.19.7-1
fuse-common 3.2.0-1
fuse2 2.9.7-4
gawk 4.1.4-2
gc 7.6.0-1
gcc 7.2.0-3
gcc-libs 7.2.0-3
gconf 3.2.6-5
gcr 3.20.0+55+g470bf4c-1
gd 2.2.5-1
gdbm 1.13-1
gdk-pixbuf2 2.36.11-1
gegl02 0.2.0-7
gettext 0.19.8.1-2
ghc 8.2.1-3
ghc-libs 8.2.1-3
giflib 5.1.4-1
gimp 2.8.22-1
girara 0.2.7-1
git 2.14.2-1
gitflow-git 20130316-1
glew 2.1.0-1
glib-networking 2.54.0-1
glib2 2.54.1-2
glibc 2.26-5
glibmm 2.54.1-1
glu 9.0.0-4
gmime 2.6.23+4+g91dcee38-1
gmp 6.1.2-1
gnome-bluetooth 3.26.0+1+g3875844-1
gnome-themes-standard 3.22.3+13+ga993fdc0-1
gnupg 2.2.1-1
gnutls 3.5.15-1
go 2:1.9.1-1
gobject-introspection-runtime 1.54.1-1
google-chrome-beta 60.0.3112.40-1
gperf 3.1-1
gperftools 2.5-1
gpgme 1.9.0-3
gpm 1.20.7-8
gptfdisk 1.0.3-1
graphite 1:1.3.10-1
grep 3.1-1
groff 1.22.3-7
gsettings-desktop-schemas 3.24.1+3+ge869987-1
gsfonts 20170829-1
gsl 2.4-1
gsm 1.0.17-1
gst-plugins-base 1.12.3-1
gst-plugins-base-libs 1.12.3-1
gstreamer 1.12.3-1
gtk-engine-murrine 0.98.2-2
gtk-update-icon-cache 3.22.24+80+g6a4be7f56b-1
gtk2 2.24.31-1
gtk3 3.22.24+80+g6a4be7f56b-1
gtkmm 2.24.5-2
gtkspell 2.0.16-5
guile 2.2.2-1
gvfs 1.34.1-1
gvim 8.0.1176-1
gzip 1.8-2
handbrake 1.0.7-2
harfbuzz 1.6.0-1
harfbuzz-icu 1.6.0-1
haskell-aeson 1.2.3.0-1
haskell-aeson-compat 0.3.7.1-7
haskell-annotated-wl-pprint 0.7.0-5
haskell-ansi-terminal 0.6.3.1-4
haskell-ansi-wl-pprint 0.6.8.1-3
haskell-asn1-encoding 0.9.5-19
haskell-asn1-parse 0.9.4-30
haskell-asn1-types 0.3.2-26
haskell-async 2.1.1.1-4
